Time (msec),* Engine Load (mg/stroke),* Engine Speed (RPM),* Oil Temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Vehicle Speed (km/h)
0,98.28,763,95.3,0.0,0.0,0
128,98.28,763,95.3,0.0,0.0,0
240,98.53,761,95.3,0.0,0.0,0
368,98.15,764,95.3,0.0,0.0,0
480,100.36,761,95.3,0.0,0.0,0
608,100.23,762,95.3,0.0,0.0,0
719,100.10,763,95.3,0.0,0.0,0
849,100.48,760,95.3,0.0,0.0,0
959,100.23,762,95.3,0.0,0.0,0
1087,100.36,761,95.3,0.0,0.0,0
1200,100.10,763,95.3,0.0,0.0,0
1328,99.70,766,95.3,0.0,0.0,0
1439,100.10,763,95.3,0.0,0.0,0
1568,99.83,765,95.3,0.0,0.0,0
1680,99.57,767,95.3,0.0,0.0,0
1807,99.70,766,95.3,0.0,0.0,0
1919,99.83,765,95.3,0.0,0.0,0
2046,100.48,760,95.3,0.0,0.0,0
2159,100.61,759,95.3,0.0,0.0,0
2286,100.76,758,95.3,0.0,0.0,0
2400,101.56,752,95.3,0.0,0.0,0
2526,103.20,740,95.3,0.0,0.0,0
2638,105.63,723,95.3,0.0,0.0,0
2767,109.21,712,95.3,0.0,0.0,0
2878,110.46,704,95.3,0.0,0.0,0
3006,120.66,702,95.3,0.0,1.2,0
3120,138.07,704,95.3,0.0,2.7,0
3247,140.45,702,95.3,0.0,3.5,0
3358,140.45,702,95.3,0.0,4.7,0
3487,153.63,705,95.3,0.0,5.5,0
3598,157.57,705,95.3,0.0,5.9,0
3727,173.08,690,95.3,0.0,6.6,0
3838,185.29,682,95.3,0.0,7.0,0
3965,186.24,686,95.3,0.0,7.0,0
4078,179.50,704,95.3,0.0,7.0,0
4206,174.05,726,95.3,0.0,7.0,0
4318,163.90,754,95.3,0.0,7.0,0
4447,153.90,776,95.3,0.0,7.0,0
4557,143.88,801,95.3,0.0,7.0,0
4686,134.49,826,95.3,0.0,0.0,0
4799,95.99,839,95.3,0.0,0.0,0
4926,89.00,905,95.3,0.0,0.0,0
5038,83.79,928,95.3,0.0,0.0,0
5167,82.28,945,95.3,0.0,0.0,0
5278,78.76,952,95.3,0.0,0.0,1
5406,81.16,941,95.3,0.0,0.0,1
5518,84.25,923,95.3,0.0,0.0,1
5646,85.44,910,95.3,0.0,0.0,1
5757,87.18,892,95.3,0.0,0.0,1
5885,89.17,872,95.3,0.0,0.0,1
5997,91.16,853,95.3,0.0,0.0,1
6125,94.15,826,95.3,0.0,0.0,1
6238,107.60,813,95.3,0.0,2.3,0
6365,101.95,790,95.3,0.0,3.5,0
6477,124.89,756,95.3,0.0,5.5,0
6605,150.11,703,95.3,0.0,5.9,0
6718,168.38,635,95.3,0.0,5.9,0
6845,207.83,588,95.3,0.8,5.9,0
6957,260.83,559,95.3,1.2,5.9,0
7086,255.93,586,95.3,0.4,0.0,0
7197,178.23,709,95.3,0.0,0.0,0
7324,90.74,857,95.3,0.0,0.0,0
7437,85.16,913,95.3,0.0,0.0,0
7565,88.07,946,95.3,0.0,1.6,0
7677,94.04,945,95.3,0.0,5.5,0
7804,114.11,937,95.3,0.0,7.0,0
7917,121.84,889,95.3,0.0,7.0,0
8045,128.35,833,95.3,0.0,7.0,0
8155,146.47,768,95.3,0.0,7.0,0
8285,189.65,659,95.3,0.0,7.0,1
8397,216.54,590,95.3,0.4,7.0,1
8525,215.04,536,95.3,0.8,0.0,1
8636,239.98,596,95.3,0.8,0.0,1
8764,116.91,784,95.3,0.0,0.0,1
8875,85.48,926,95.3,0.0,0.0,1
9005,80.52,983,95.3,0.0,0.0,1
9115,75.71,1027,95.3,0.0,0.0,1
9243,75.35,1032,95.3,0.0,0.0,4
9357,76.16,1021,95.3,0.0,0.0,4
9483,77.13,1008,95.3,0.0,0.0,4
9595,79.27,981,95.3,0.0,0.0,4
9724,79.89,956,95.3,0.0,0.0,4
9835,83.26,934,95.3,0.0,0.0,4
9964,85.54,909,95.3,0.0,0.0,4
10076,86.98,894,95.3,0.0,0.0,4
10203,92.16,874,95.3,0.0,1.2,4
10316,101.48,862,95.3,0.0,4.3,4
10444,112.82,837,95.3,0.0,5.5,4
10555,121.72,810,95.3,0.0,5.9,4
10682,128.64,788,95.3,0.0,6.2,4
10795,135.13,781,95.3,0.0,6.2,4
10923,135.68,788,95.3,0.0,6.2,4
11034,134.32,796,95.3,0.0,6.2,4
11162,136.74,782,95.3,0.0,6.2,4
11275,154.52,710,95.3,0.0,6.2,4
11403,170.75,675,95.3,0.0,6.2,4
11515,155.11,743,95.3,0.0,6.2,4
11643,138.16,784,95.3,0.0,6.2,4
11754,141.61,755,95.3,0.0,6.2,4
11882,133.05,814,95.3,0.0,6.2,4
11994,119.07,898,95.3,0.0,7.0,4
12122,122.05,876,95.3,0.0,7.4,4
12234,134.18,890,95.3,0.0,9.4,6
12314,139.60,945,95.3,0.0,10.9,6
12394,161.04,983,95.3,0.0,12.1,6
12522,189.29,983,95.3,0.0,12.5,6
12635,190.16,1015,95.3,0.0,12.5,6
12762,174.05,1093,95.3,0.0,12.9,6
12874,177.15,1121,95.3,0.0,6.6,6
13002,57.53,1086,95.3,0.0,0.0,6
13114,69.23,1103,95.3,0.0,0.0,6
13243,67.02,1098,95.3,0.0,0.0,8
13353,68.46,1075,95.3,0.0,0.0,8
13434,70.10,1050,95.3,0.0,0.0,8
13513,74.36,1027,95.3,0.0,1.6,8
13594,82.64,1008,95.3,0.0,5.5,8
13723,128.47,962,95.3,0.0,8.6,8
13833,155.32,903,95.3,0.0,9.4,8
13914,176.26,843,95.3,0.0,9.4,8
14042,225.65,720,95.3,0.0,9.4,8
14154,253.81,755,95.3,0.0,9.4,8
14233,207.70,809,95.3,0.0,9.4,8
