Time (msec),* Engine Load (mg/stroke),* Engine Speed (RPM),* Oil Temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Vehicle Speed (km/h)
0,92.69,809,90.5,0.0,0.0,0
112,93.38,803,90.5,0.0,0.0,0
239,93.62,801,90.5,0.0,0.0,0
352,93.85,799,90.5,0.0,0.0,0
480,94.08,797,90.5,0.0,0.0,0
592,95.16,788,90.5,0.0,0.0,0
720,95.40,786,90.5,0.0,0.0,0
832,96.14,780,90.5,0.0,0.0,0
960,95.88,782,90.5,0.0,0.0,0
1071,98.17,778,90.5,0.0,0.0,0
1200,96.14,780,90.5,0.0,0.0,0
1313,97.92,780,90.5,0.0,0.0,0
1440,98.53,775,90.5,0.0,0.0,0
1551,98.28,777,90.5,0.0,0.0,0
1681,99.06,771,90.5,0.0,0.0,0
1791,100.61,759,90.5,0.0,0.0,0
1920,101.97,749,90.5,0.0,0.0,0
2031,104.47,731,90.5,0.0,0.0,0
2158,117.16,723,90.5,0.0,2.0,0
2272,148.50,720,90.5,0.0,4.7,0
2399,155.58,723,90.5,0.0,5.9,0
2511,163.59,730,90.5,0.0,6.6,0
2640,160.64,752,90.5,0.0,6.6,0
2751,148.84,793,90.5,0.0,6.6,0
2878,134.11,818,90.5,0.0,6.6,0
2991,134.11,818,90.5,0.0,6.6,0
3120,134.39,806,90.5,0.0,6.6,0
3230,138.33,793,90.5,0.0,6.6,0
3358,139.92,784,90.5,0.0,6.6,0
3471,139.58,776,90.5,0.0,3.5,0
3598,94.02,768,90.5,0.0,1.2,0
3710,107.81,747,90.5,0.0,2.3,0
3839,133.45,718,90.5,0.0,5.1,0
3950,147.21,698,90.5,0.0,5.1,0
4077,105.61,710,91.3,0.0,0.0,0
4190,118.92,759,91.3,0.0,0.0,0
4317,99.68,808,91.3,0.0,0.0,0
4430,91.56,834,91.3,0.0,0.0,0
4558,90.93,840,91.3,0.0,0.0,0
4669,90.38,845,91.3,0.0,0.0,0
4797,91.46,835,91.3,0.0,0.0,0
4910,93.26,819,91.3,0.0,0.0,0
5039,95.82,797,91.3,0.0,0.0,0
5150,98.79,773,91.3,0.0,0.0,0
5278,98.53,761,91.3,0.0,0.0,0
5391,100.50,746,91.3,0.0,0.0,0
5518,103.49,738,91.3,0.0,0.0,0
5630,112.69,727,91.3,0.0,2.0,0
5758,145.45,716,91.3,0.0,4.7,0
5870,157.31,715,91.3,0.0,6.2,0
5997,180.37,716,91.3,0.0,7.0,0
6110,183.23,720,91.3,0.0,7.0,0
6237,182.87,729,91.3,0.0,7.4,0
6350,180.14,740,91.3,0.0,7.4,0
6478,178.50,739,91.3,0.0,7.4,0
6589,175.94,734,91.3,0.0,7.4,0
6716,179.31,728,91.3,0.0,7.4,0
6830,176.66,731,91.3,0.0,7.4,0
6958,175.22,737,91.3,0.0,7.4,0
7070,166.55,742,91.3,0.0,0.0,0
7196,97.39,770,91.3,0.0,0.0,0
7310,90.69,842,91.3,0.0,0.0,0
7438,86.20,886,91.3,0.0,0.0,0
7550,82.13,896,91.3,0.0,0.0,2
7677,83.68,896,91.3,0.0,0.0,2
7789,86.58,882,91.3,0.0,0.0,2
7916,93.96,872,91.3,0.0,1.2,2
8028,84.36,856,91.3,0.0,1.6,2
8157,88.74,845,91.3,0.0,0.0,2
8268,93.68,830,91.3,0.0,0.0,2
8397,93.26,819,91.3,0.0,0.0,2
8508,94.06,812,91.3,0.0,0.0,2
8637,108.01,810,91.3,0.0,3.5,3
8748,128.52,778,91.3,0.0,5.9,3
8877,149.20,726,91.3,0.0,6.6,3
8988,184.61,677,91.3,0.0,7.4,3
9116,216.41,616,91.3,0.4,7.8,3
9227,398.33,509,91.3,2.7,7.8,3
9356,523.82,509,91.3,3.5,7.8,3
9468,405.41,596,91.3,3.1,7.8,3
9596,193.76,688,92.9,0.0,7.8,3
9708,162.32,770,92.9,0.0,7.8,3
9835,143.58,822,92.9,0.0,7.8,3
9949,125.23,876,92.9,0.0,7.8,3
10076,119.15,909,92.9,0.0,7.8,3
10187,109.55,976,92.9,0.0,7.8,3
10315,102.18,1060,92.9,0.0,7.8,3
10428,98.36,1101,92.9,0.0,7.8,3
10556,84.95,1095,92.9,0.0,0.0,7
10667,80.80,1031,92.9,0.0,0.0,7
10795,74.86,1020,92.9,0.0,0.0,7
10908,76.75,995,92.9,0.0,0.0,7
11035,77.53,967,92.9,0.0,0.0,7
11148,81.33,939,92.9,0.0,0.0,7
